Player,3P,2P,TS%,ORB%,DRB%,DBPM,BLK%,STL%,AST%,AST/TOV
Larry Wright,0.3044391594847354,0.6430896691181374,0.3843569179606951,0.2859485124718839,0.1790126216700846,0.23035859431464678,0.24018437351983815,0.6471594328023912,0.7255687565920342,0.6205074974548779
Latrell Sprewell,0.617555689420355,0.4495774030156431,0.482805840887261,0.27346758211366623,0.3597147228113267,0.39853389730266986,0.36708068846452013,0.6414443080100525,0.6172795257345919,0.5631423580479991
Lavoy Allen,0.2802229662158771,0.3029185529451969,0.28628401267306813,0.8464142310553568,0.716818731225523,0.7290790323690302,0.6418808087245309,0.22396407701920712,0.3091532821444987,0.568465149245438
LeBron James,0.6503804171106642,0.8109721538232666,0.8964793418629199,0.3778146397364018,0.6968853063901128,0.8210602333664685,0.536722839464904,0.7473451412241768,0.8836236235202942,0.7040782326260647
Leandro Barbosa,0.7913267100035514,0.3897122123382693,0.789573469364422,0.21709396897666394,0.2891371987384257,0.1740786318696187,0.2563974502822264,0.6441316483195652,0.5526537782248645,0.610725267349207
Ledell Eackles,0.4918755686851342,0.7056296704446159,0.48825797343528143,0.43048289186443245,0.2614439200433213,0.07640988482502283,0.15064497006857822,0.4189998794634539,0.4860605834093268,0.48370300699386004
Lee Mayberry,0.6587876134139271,0.03815762546166299,0.48652134511369827,0.15901454169562781,0.17986510656834778,0.058068896366766945,0.18851428693696992,0.6005555436662119,0.7598840523409398,0.8644433347556507
Lee Nailon,0.22441054579821995,0.7253104085030975,0.40036356008695173,0.6248680998628138,0.44588379299662945,0.1499395080093394,0.33349344063293074,0.34480265815320665,0.37232211373771734,0.34021613999831457
Lee Shaffer,0.09297626683771648,0.8665645871355372,0.19114219360310358,0.037315586914688906,0.037107119948685055,0.5119651669802103,0.0377325208466966,0.037107119948685055,0.020846696600384865,0.05420141116100064
Lee Winfield,0.09297626683771648,0.5823279836306505,0.44239947466347673,0.11484269717442178,0.1033772753328911,0.4454159704494789,0.17779767420754208,0.1295843531739106,0.634179675897175,0.05420141116100064
Len Chappell,0.09297626683771648,0.7785655255056285,0.35055811171666024,0.037315586914688906,0.037107119948685055,0.5119651669802103,0.0377325208466966,0.037107119948685055,0.0844431282634316,0.05420141116100064
Len Elmore,0.09297626683771648,0.2449977073118766,0.1561302337799642,0.7210282373423569,0.7174410507287119,0.8784237812329856,0.6657381922146929,0.702990657077458,0.2218922274316453,0.34175328195363364
Lenny Wilkens*,0.09297626683771648,0.5882864700322488,0.4288454482108729,0.08592809609540218,0.08765702116398295,0.4505441988269339,0.08304010106111771,0.10326953846904571,0.708592634073268,0.05420141116100064
Leo Barnhorst,0.09297626683771648,0.7004494463477958,0.046547393987812935,0.037315586914688906,0.037107119948685055,0.5119651669802103,0.0377325208466966,0.037107119948685055,0.020846696600384865,0.05420141116100064
Leon Douglas,0.09297626683771648,0.42163420641936905,0.5872116869541235,0.8243018167112919,0.777170434816221,0.5779685391981305,0.5578648014076835,0.24024401145193888,0.1730128591034401,0.20791020462360799
Leon Wood,0.6904294305504339,0.18228830177674765,0.4365253580584805,0.19798454792474965,0.18049055421962615,0.04171364198987884,0.08727587724236013,0.405413653890078,0.7569013926981938,0.9383928706083515
Leonard Gray,0.09297626683771648,0.6125582953058905,0.32970311350453674,0.4937996358557834,0.5635060745560259,0.6129793059122888,0.3853551757972195,0.4841176418716876,0.4286072794520654,0.05420141116100064
Leroy Ellis,0.09297626683771648,0.524286866730011,0.25013915531857395,0.170133570587501,0.13705456421888987,0.6110201627734568,0.1698789789542061,0.10391770829268399,0.19080601219018187,0.05420141116100064
Lester Conner,0.32156824431687264,0.2223742932326529,0.45667280998160426,0.42070502503961493,0.3607390613442324,0.7325929153830635,0.1569850099457068,0.9282480956671513,0.7308323488365719,0.8484097664829493
Lew Hitch,0.09297626683771648,0.1539227968925332,0.10149405829998548,0.037315586914688906,0.037107119948685055,0.5119651669802103,0.0377325208466966,0.037107119948685055,0.020846696600384865,0.05420141116100064
Lewis Lloyd,0.3116952025629767,0.8408113682001239,0.8071157035780032,0.5037650833763256,0.284214073885657,0.3091062059641734,0.35264932969894736,0.6009793245938053,0.6071116641392915,0.5319826679313762
Linas Kleiza,0.7475510134514438,0.22449942534111414,0.7167169116504176,0.4960754530446629,0.5860422621509456,0.12978193977801414,0.3297408759609289,0.25425378328379494,0.17806258150652032,0.306506508964724
Lindsey Hunter,0.7381274834069143,0.10970987966659619,0.2548039892171653,0.2396772733446347,0.2654606107304376,0.39589605107757575,0.2810562483279466,0.8183041162688084,0.6130267533669362,0.7284268193181542
Lionel Hollins,0.30046764401056714,0.6409048673525156,0.25978926256065044,0.24499663320107112,0.22109522929064288,0.3893572260915533,0.2970037035386094,0.8315472400670432,0.7007364696910535,0.533665800886701
Lionel Simmons,0.36320076245168176,0.5914675634431297,0.2941607820448978,0.5489409129948256,0.6660800558298475,0.7572204328371239,0.5568828553639871,0.630889082731684,0.6117949965637417,0.569985383447436
Lloyd Neal,0.09297626683771648,0.6714334801064522,0.5099557189574022,0.5558546657829304,0.6211583453040336,0.449642450622927,0.5362341330297117,0.1799998780128708,0.2850404460811628,0.12021094135298459
Lloyd Walton,0.23495031334625624,0.24646505489366743,0.29224292780805183,0.2627051867139276,0.16232507267381696,0.14257356229670526,0.16147117953486567,0.7364161348136565,0.7928677344105047,0.7436099115410562
Lonnie Shelton,0.22819838674342952,0.6902713270589884,0.542429246116764,0.6638982969049058,0.6107332919658957,0.7787487275839855,0.5440870789260327,0.6274363863941428,0.42500366221432634,0.34996599188686933
Lorenzen Wright,0.21633681319917536,0.4202215525110224,0.2792959735002546,0.7954709583581958,0.7852514608204352,0.6180456111970825,0.6248558275105985,0.4080875675757999,0.15638736231363312,0.2705499123966326
Lorenzo Romar,0.3715155395555978,0.4250246707404405,0.37736168763866385,0.15495444282786835,0.2205247792422757,0.20987900509922564,0.19684450073319595,0.7682570984224253,0.7656663849296597,0.850124886777474
Lorenzo Williams,0.09297626683771648,0.052146144112823235,0.17562303063733178,0.8963322596795082,0.7519588528945692,0.9107819957252641,0.7766195720452428,0.3490181944127901,0.16317047142484958,0.4094898661843087
Lou Amundson,0.09297626683771648,0.26343436475213017,0.1936285410098746,0.9123325745972211,0.7370099205783573,0.740057437961727,0.7673362727234931,0.4510851406883184,0.17061779049216005,0.25700780530175243
Lou Hudson,0.09297626683771648,0.8764722383225821,0.6283168202870952,0.1527134982776299,0.11790172382829907,0.3751302683264883,0.12992554348011306,0.19124988110818225,0.4732285664235781,0.13227675392251667
Lou Williams,0.8007115103861906,0.3245458537293757,0.7792054226113698,0.17310233325279184,0.30798992259198976,0.11041845699550798,0.3139700737504479,0.6601458010116696,0.6767960584485329,0.6852847911144665
